x,y,cost
20.0,-3.0,253
20.0,-3.05,253
20.0,-3.1,253
20.0,-3.15,253
20.0,-3.2,253
20.0,-3.25,253
20.0,-3.3,253
20.0,-3.35,253
20.0,-3.4,253
20.0,-3.45,253
20.0,-3.5,253
20.0,-3.55,253
20.0,-3.6,253
20.0,-3.65,253
20.0,-3.7,253
20.0,-3.75,253
20.0,-3.8,253
20.0,-3.85,253
20.0,-3.9,253
20.0,-3.95,253
20.0,-4.0,253
20.0,-4.05,253
20.0,-4.1,253
20.0,-4.15,253
20.0,-4.2,253
20.0,-4.25,253
20.0,-4.3,253
20.0,-4.35,253
20.0,-4.4,253
20.0,-4.45,253
20.0,-4.5,253
20.0,-4.55,253
20.0,-4.6,253
20.0,-4.65,253
20.0,-4.7,253
20.0,-4.75,253
20.0,-4.8,253
20.0,-4.85,253
20.0,-4.9,253
20.0,-4.95,253
20.0,-5.0,253
20.0,-5.05,253
20.0,-5.1,253
20.0,-5.15,253
20.0,-5.2,253
20.0,-5.25,253
20.0,-5.3,253
20.0,-5.35,253
20.0,-5.4,253
20.0,-5.45,253
20.0,-5.5,253
20.0,-5.55,253
20.0,-5.6,253
20.0,-5.65,253
20.0,-5.7,253
20.0,-5.75,253
20.0,-5.8,253
20.0,-5.85,253
20.0,-5.9,253
20.05,-3.0,253
20.05,-3.05,253
20.05,-3.1,253
20.05,-3.15,253
20.05,-3.2,253
20.05,-3.25,253
20.05,-3.3,253
20.05,-3.35,253
20.05,-3.4,253
20.05,-3.45,253
20.05,-3.5,253
20.05,-3.55,253
20.05,-3.6,253
20.05,-3.65,253
20.05,-3.7,253
20.05,-3.75,253
20.05,-3.8,253
20.05,-3.85,253
20.05,-3.9,253
20.05,-3.95,253
20.05,-4.0,253
20.05,-4.05,253
20.05,-4.1,253
20.05,-4.15,253
20.05,-4.2,253
20.05,-4.25,253
20.05,-4.3,253
20.05,-4.35,253
20.05,-4.4,253
20.05,-4.45,253
20.05,-4.5,253
20.05,-4.55,253
20.05,-4.6,253
20.05,-4.65,253
20.05,-4.7,253
20.05,-4.75,253
20.05,-4.8,253
20.05,-4.85,253
20.05,-4.9,253
20.05,-4.95,253
20.05,-5.0,253
20.05,-5.05,253
20.05,-5.1,253
20.05,-5.15,253
20.05,-5.2,253
20.05,-5.25,253
20.05,-5.3,253
20.05,-5.35,253
20.05,-5.4,253
20.05,-5.45,253
20.05,-5.5,253
20.05,-5.55,253
20.05,-5.6,253
20.05,-5.65,253
20.05,-5.7,253
20.05,-5.75,253
20.05,-5.8,253
20.05,-5.85,253
20.05,-5.9,253
20.1,-3.0,253
20.1,-3.05,253
20.1,-3.1,253
20.1,-3.15,253
20.1,-3.2,253
20.1,-3.25,253
20.1,-3.3,253
20.1,-3.35,253
20.1,-3.4,253
20.1,-3.45,253
20.1,-3.5,253
20.1,-3.55,253
20.1,-3.6,253
20.1,-3.65,253
20.1,-3.7,253
20.1,-3.75,253
20.1,-3.8,253
20.1,-3.85,253
20.1,-3.9,253
20.1,-3.95,253
20.1,-4.0,253
20.1,-4.05,253
20.1,-4.1,253
20.1,-4.15,253
20.1,-4.2,253
20.1,-4.25,253
20.1,-4.3,253
20.1,-4.35,253
20.1,-4.4,253
20.1,-4.45,253
20.1,-4.5,253
20.1,-4.55,253
20.1,-4.6,253
20.1,-4.65,253
20.1,-4.7,253
20.1,-4.75,253
20.1,-4.8,253
20.1,-4.85,253
20.1,-4.9,253
20.1,-4.95,253
20.1,-5.0,253
20.1,-5.05,253
20.1,-5.1,253
20.1,-5.15,253
20.1,-5.2,253
20.1,-5.25,253
20.1,-5.3,253
20.1,-5.35,253
20.1,-5.4,253
20.1,-5.45,253
20.1,-5.5,253
20.1,-5.55,253
20.1,-5.6,253
20.1,-5.65,253
20.1,-5.7,253
20.1,-5.75,253
20.1,-5.8,253
20.1,-5.85,253
20.1,-5.9,253
20.15,-3.0,253
20.15,-3.05,253
20.15,-3.1,253
20.15,-3.15,253
20.15,-3.2,253
20.15,-3.25,253
20.15,-3.3,253
20.15,-3.35,253
20.15,-3.4,253
20.15,-3.45,253
20.15,-3.5,253
20.15,-3.55,253
20.15,-3.6,253
20.15,-3.65,253
20.15,-3.7,253
20.15,-3.75,253
20.15,-3.8,253
20.15,-3.85,253
20.15,-3.9,253
20.15,-3.95,253
20.15,-4.0,253
